time,x1,x2,x3,x4,x5,x6,x7
1.004016064257028162e+01,4.205731357078420911e-07,6.829599034343377895e+00,2.461341217829350059e-01,2.755264956506016105e+00,2.148521929185402690e-01,4.223124136408591967e-01,3.628305471090229051e-01
1.014056224899598391e+01,1.768532326974667248e-07,6.624077751457394747e+00,4.142784010212531842e-01,2.728497829748925518e+00,2.137222203283450361e-01,4.159023075365149147e-01,3.703710887520441086e-01
1.024096385542168619e+01,1.064593864878127176e-07,6.292056876523931308e+00,6.878661196672541944e-01,2.688922054389137450e+00,2.128983873616389078e-01,4.092403746002069576e-01,3.778572733804939632e-01
1.034136546184739025e+01,4.895931900804255895e-08,5.779066291961583168e+00,1.117187180769437127e+00,2.630592273857629948e+00,2.123807547754755776e-01,4.023570961777144239e-01,3.852585631157341983e-01
1.044176706827309253e+01,2.940237574736299520e-08,5.037989469430295131e+00,1.754154797997471205e+00,2.547527729950215480e+00,2.121693492366382994e-01,3.952834537396952008e-01,3.925439536411532981e-01
1.054216867469879482e+01,2.246924563697196883e-08,4.068429274236979865e+00,2.624708903393035975e+00,2.437142621920121766e+00,2.122641797294829435e-01,3.880507022835890107e-01,3.996821844308343086e-01
1.064257028112449710e+01,1.871153638423875521e-08,2.962588036350521037e+00,3.689539154648580510e+00,2.305102577786081852e+00,2.126652443288418459e-01,3.806901419809756160e-01,4.066419603644874092e-01
1.074297188755020116e+01,2.120368129622659574e-08,1.901659636273613563e+00,4.829186905718934497e+00,2.167131866007658836e+00,2.133725270630013049e-01,3.732329042807233099e-01,4.133921687917570531e-01
1.084337349397590344e+01,2.900652748851024576e-08,1.066640559950524869e+00,5.884430199723907684e+00,2.044984842967253247e+00,2.143859853893672340e-01,3.657097311032116438e-01,4.199021128919283030e-01
1.094377510040160573e+01,4.607127935688456960e-08,5.255303475867261209e-01,6.736126678391398670e+00,1.954996480220431154e+00,2.157055236366146322e-01,3.581509521126491347e-01,4.261415609967982299e-01
1.104417670682730979e+01,7.987576066182778676e-08,2.328216270969347967e-01,7.349255416578757583e+00,1.899252684095241506e+00,2.173309693649327079e-01,3.505855238450251155e-01,4.320817310731542849e-01
1.114457831325301207e+01,1.449420842855836851e-07,9.506668462111295126e-02,7.751755961657165628e+00,1.871918638776411958e+00,2.192620310019948726e-01,3.430421388158207407e-01,4.376942240912709559e-01
1.124497991967871435e+01,2.683261728676957919e-07,3.671994392075095259e-02,7.997883121278186458e+00,1.863097661242225644e+00,2.214982389691907694e-01,3.355480513876866189e-01,4.429522569748140515e-01
1.134538152610441841e+01,5.006872926226997544e-07,1.371463551433758053e-02,8.140151454413750542e+00,1.863983005534689097e+00,2.240388919603794327e-01,3.281293163586102568e-01,4.478304777796387470e-01
1.144578313253012070e+01,9.367130110769424001e-07,5.014901456447789715e-03,8.218644396948135977e+00,1.868523607898782135e+00,2.268829889710288206e-01,3.208106283095568667e-01,4.523051943292361043e-01
1.154618473895582298e+01,1.753553390293712001e-06,1.812154253144987676e-03,8.260340513829758535e+00,1.873324646434962215e+00,2.300291540126859768e-01,3.136152296606056211e-01,4.563545414582075299e-01
1.164658634538152526e+01,3.282799378330166039e-06,6.507875961697464923e-04,8.281990713730850828e+00,1.876892785876402181e+00,2.334755537661959146e-01,3.065648412492444352e-01,4.599586327934962471e-01
1.174698795180722932e+01,6.144689572596175335e-06,2.328175539614973780e-04,8.293371307636752121e+00,1.878830885127696693e+00,2.372198097973845232e-01,2.996796171551236454e-01,4.630996937255784096e-01
1.184738955823293161e+01,1.150271360706176217e-05,8.325122760852403500e-05,8.299868251169396416e+00,1.879261578511189024e+00,2.412589029674567231e-01,2.929781152050463522e-01,4.657621865032419706e-01
1.194779116465863389e+01,2.153448207760478187e-05,2.946744688685689682e-05,8.304285387344149783e+00,1.878487097287875107e+00,2.455890789659199713e-01,2.864773000514240220e-01,4.679329016320817880e-01
1.204819277108433795e+01,4.043559702988186688e-05,1.028657786025109747e-05,8.307971223770650226e+00,1.876828003543105527e+00,2.502056687343586217e-01,2.801927409267295777e-01,4.696009397136494123e-01
1.214859437751004023e+01,7.608458493010777999e-05,3.757333462929772026e-06,8.311481891759024521e+00,1.874546538652932748e+00,2.551031169947942101e-01,2.741382192483778346e-01,4.707580752982259420e-01
1.224899598393574252e+01,1.431495718848703458e-04,1.404729296071428641e-06,8.315007819621191842e+00,1.871840161019167947e+00,2.602749184775445812e-01,2.683258899415737475e-01,4.713986593486020893e-01
1.234939759036144658e+01,2.689882638109406562e-04,5.225428912686813102e-07,8.318538571301010265e+00,1.868854422687333816e+00,2.657134277085798635e-01,2.627665957180843059e-01,4.715194951913154187e-01
1.244979919678714886e+01,5.037926263249987860e-04,1.968819103696246311e-07,8.321956124375672559e+00,1.865692407877545866e+00,2.714099059546453696e-01,2.574696914465895992e-01,4.711199671948475554e-01
1.255020080321285114e+01,9.454371022916621551e-04,3.767444987502569665e-08,8.325044912138086062e+00,1.862436117770137400e+00,2.773537759042146167e-01,2.524438575635794546e-01,4.702019727199590604e-01
1.265060240963855342e+01,1.773556179548386926e-03,2.014921917172665997e-08,8.327465937908272053e+00,1.859148368591919009e+00,2.835334688451826568e-01,2.476960763285587785e-01,4.687700986327302255e-01
1.275100401606425748e+01,3.327616946730864531e-03,7.261203438890979235e-09,8.328665857858684518e+00,1.855899600679173034e+00,2.899358525036393464e-01,2.432323478909778625e-01,4.668314774372038789e-01
1.285140562248995977e+01,6.244105919863037965e-03,3.374310997190192376e-09,8.327671996542834520e+00,1.852786571685761663e+00,2.965462635255476931e-01,2.390576841750560455e-01,4.643957609063374958e-01
1.295180722891566205e+01,1.171617128564808250e-02,1.399217563102148093e-09,8.322732011408481512e+00,1.849967189493352482e+00,3.033484726432290612e-01,2.351762142940198308e-01,4.614750495050071177e-01
1.305220883534136611e+01,2.198034495994605902e-02,4.402406421535425243e-10,8.310634611044763531e+00,1.847722586297701808e+00,3.103246603925468583e-01,2.315912858193119594e-01,4.580838154067152224e-01
1.315261044176706839e+01,4.118530005449012182e-02,2.154554133513845729e-10,8.285500953700552174e+00,1.846567958038117574e+00,3.174554169820212879e-01,2.283055645694678781e-01,4.542388028384845566e-01
1.325301204819277068e+01,7.702656368576585311e-02,6.088150376795666088e-11,8.236517853282286694e+00,1.847465764441182490e+00,3.247197388829938247e-01,2.253211236564471309e-01,4.499589424466519660e-01
1.335341365461847296e+01,1.434409751848899905e-01,3.442750240648246930e-11,8.144223152179385750e+00,1.852197332687192777e+00,3.320950883472882920e-01,2.226395427507060210e-01,4.452651925168009117e-01
1.345381526104417702e+01,2.649794711702804229e-01,9.673042682672227891e-12,7.974539736975959414e+00,1.864032160743906097e+00,3.395574342830169901e-01,2.202619869693047405e-01,4.401804192116816616e-01
1.355421686746987930e+01,4.820572632999218232e-01,6.444952622496265870e-12,7.671834705645908414e+00,1.888783376144558268e+00,3.470813578549073464e-01,2.181892927726314935e-01,4.347292050763728044e-01
1.365461847389558159e+01,8.549566728084555534e-01,1.641499539385224142e-12,7.154348013780101212e+00,1.936494685693975759e+00,3.546400964820175528e-01,2.164220238000047203e-01,4.289377492059257557e-01
1.375502008032128565e+01,1.452249062863314233e+00,1.431912486759081367e-12,6.332225844039409246e+00,2.022784127195720760e+00,3.622057385577326927e-01,2.149605503371655735e-01,4.228335930603367987e-01
1.385542168674698793e+01,2.307993470764864163e+00,7.922291619536328358e-13,5.168941771300435306e+00,2.168058413995826328e+00,3.697493414720801064e-01,2.138050979460891510e-01,4.164454538134056971e-01
1.395582329317269021e+01,3.351047967982926590e+00,5.954921978356137473e-13,3.775099712215396863e+00,2.389598207870502478e+00,3.772410958891917465e-01,2.129557922989277208e-01,4.098030152426108685e-01
1.405622489959839427e+01,4.382437829702204191e+00,5.648798252284297957e-13,2.422083444669127061e+00,2.683123208041783503e+00,3.846505123112378133e-01,2.124126965204630180e-01,4.029367038239026200e-01
1.415662650602409656e+01,5.185406911804870234e+00,6.609768385965776151e-13,1.374446866284376956e+00,3.005692039877194688e+00,3.919466166699094312e-01,2.121758378551682478e-01,3.958774664741845362e-01
1.425702811244979884e+01,5.675702364957076362e+00,8.969788315161308346e-13,7.104767349949390187e-01,3.289175068521690282e+00,3.990979738209828875e-01,2.122452208732709122e-01,3.886567338520552917e-01
