time,x1,x2,x3,x4,x5,x6,x7,x8
8.241206030150754813e+00,6.876287390190073401e-01,7.610694123479697648e-01,7.610694123479697648e-01,1.373300422629846640e+00,9.392378398592214905e-01,9.392378398592214905e-01,3.954088427588588472e-01,3.083478052356490196e+00
8.341708542713568875e+00,6.149174910500254665e-01,7.211178049698775405e-01,7.211178049698775405e-01,1.212646844783549893e+00,9.142345158974899411e-01,9.142345158974899411e-01,4.183160341664225457e-01,2.684643497275256863e+00
8.442211055276382936e+00,5.522537727467159430e-01,6.866692106623701886e-01,6.866692106623701886e-01,1.068966393761661138e+00,8.850051381415898755e-01,8.850051381415898755e-01,4.508887250142393777e-01,2.339349072247678407e+00
8.542713567839196998e+00,4.979596734671332126e-01,6.566419463231757403e-01,6.566419463231757403e-01,9.423617455116546360e-01,8.534573093108039910e-01,8.534573093108039910e-01,4.939105878306859765e-01,2.040784990662674048e+00
8.643216080402011059e+00,4.507367076867300204e-01,6.301856452017337018e-01,6.301856452017337018e-01,8.318800773303620666e-01,8.210314071432130989e-01,8.210314071432130989e-01,5.486413174562276840e-01,1.782944565655266045e+00
8.743718592964825120e+00,4.095611468947163991e-01,6.066395033714102603e-01,6.066395033714102603e-01,7.360530859098796119e-01,7.887535588117220442e-01,7.887535588117220442e-01,6.168220648933149253e-01,1.560561817798278295e+00
8.844221105527639182e+00,3.736132248437996073e-01,5.854924965086546473e-01,5.854924965086546473e-01,6.532359960555030876e-01,7.573152808570686734e-01,7.573152808570686734e-01,7.007126706285856654e-01,1.369042655718683443e+00
8.944723618090453243e+00,3.422290237144135494e-01,5.663495841554698762e-01,5.663495841554698762e-01,5.818027943296635307e-01,7.271540940317339219e-01,7.271540940317339219e-01,8.031556930704738528e-01,1.204396513234066823e+00
9.045226130653267305e+00,3.148675197197707276e-01,5.489046841698216328e-01,5.489046841698216328e-01,5.202476180188682076e-01,6.985232636332584510e-01,6.985232636332584510e-01,9.276653325177963705e-01,1.063172305291124164e+00
9.145728643216081366e+00,2.910879816879227144e-01,5.329197648921254471e-01,5.329197648921254471e-01,4.672289623261533520e-01,6.715473573613336411e-01,6.715473573613336411e-01,1.078541340972009932e+00,9.424008002297243891e-01
